="",="\multicolumn{1}{c}{Engaged}",="\multicolumn{3}{c}{Demand}"\cmidrule(lr){2-2}\cmidrule(lr){3-5}
="",="(1)",="(2)",="(3)",="(4)"
="",="Engagement: Student attempted problems (asked at endline)",="Phone and SMS",="SMS Only",="None"
="SMS Only",="0.921",="-0.027",="0.077",="-0.005"
="",="(0.009)",="(0.030)",="(0.026)",="(0.005)"
="",="[0.000]",="[0.363]",="[0.003]",="[0.322]"
="",="{0.903 to 0.938}",="{-0.086 to 0.031}",="{0.026 to 0.129}",="{-0.015 to 0.005}"
="Phone + SMS",="0.952",="0.177",="-0.102",="0.003"
="",="(0.007)",="(0.026)",="(0.021)",="(0.007)"
="",="[0.000]",="[0.000]",="[0.000]",="[0.639]"
="",="{0.939 to 0.966}",="{0.125 to 0.229}",="{-0.144 to -0.060}",="{-0.010 to 0.016}"
="Control Mean",="0.000",="0.693",="0.176",="0.009"
="Observations",="3405",="1478",="1478",="1478"
="p-val: SMS = Phone",="0.005",="0.000",="0.000",="0.139"
