="",="(1)",="(2)",="(3)"
="",="Student's average level (0-4)",="Student got place value problem correct",="Student got fraction problem correct"

="SMS Only",="0.024",="0.009",="0.047"
="",="(0.046)",="(0.046)",="(0.046)"
="",="[0.602]",="[0.837]",="[0.309]"
="",="{-0.066 to 0.114}",="{-0.080 to 0.099}",="{-0.043 to 0.137}"
="Phone + SMS",="0.121",="0.114",="0.075"
="",="(0.046)",="(0.044)",="(0.046)"
="",="[0.008]",="[0.009]",="[0.100]"
="",="{0.031 to 0.210}",="{0.028 to 0.200}",="{-0.014 to 0.165}"

="Not Targeted",="0.070",="0.026",="0.029"
="",="(0.046)",="(0.045)",="(0.046)"
="",="[0.130]",="[0.572]",="[0.527]"
="",="{-0.021 to 0.160}",="{-0.063 to 0.114}",="{-0.061 to 0.120}"
="Targeted",="0.076",="0.098",="0.093"
="",="(0.046)",="(0.044)",="(0.045)"
="",="[0.097]",="[0.026]",="[0.041]"
="",="{-0.014 to 0.165}",="{0.012 to 0.185}",="{0.004 to 0.182}"
="Control Mean",="1.974",="1.774",="1.605"
="Observations",="2815",="2881",="2751"
="p-val: SMS = Phone",="0.033",="0.017",="0.528"
="p-val: Targeted = Not Targeted",="0.896",="0.098",="0.160"
